code_maitre,cle,classe,sous_classe,code_atih,libelle
A19.2,A192,connu de l'ATIH,type MCO 0,A192,"Tuberculose miliaire aigüe, sans précision"
A19.8,A198,connu de l'ATIH,type MCO 0,A198,Autres tuberculoses miliaires
A19.9,A199,connu de l'ATIH,type MCO 0,A199,"Tuberculose miliaire, sans précision"
A20.0,A200,connu de l'ATIH,type MCO 0,A200,Peste bubonique
A20.1,A201,connu de l'ATIH,type MCO 0,A201,Peste cutanée
A20.2,A202,connu de l'ATIH,type MCO 0,A202,Peste pulmonaire
A20.3,A203,connu de l'ATIH,type MCO 0,A203,Peste méningée
A20.7,A207,connu de l'ATIH,type MCO 0,A207,Peste septicémique
A20.8,A208,connu de l'ATIH,type MCO 0,A208,Autres formes de peste
A20.9,A209,connu de l'ATIH,type MCO 0,A209,"Peste, sans précision"
A21.0,A210,connu de l'ATIH,type MCO 0,A210,Tularémie ulcéroglandulaire
A21.1,A211,connu de l'ATIH,type MCO 0,A211,Tularémie oculoglandulaire
A21.2,A212,connu de l'ATIH,type MCO 0,A212,Tularémie pulmonaire
A21.3,A213,connu de l'ATIH,type MCO 0,A213,Tularémie gastro-intestinale
A21.7,A217,connu de l'ATIH,type MCO 0,A217,Tularémie généralisée
A21.8,A218,connu de l'ATIH,type MCO 0,A218,Autres formes de tularémie
A21.9,A219,connu de l'ATIH,type MCO 0,A219,"Tularémie, sans précision"
A22.0,A220,connu de l'ATIH,type MCO 0,A220,Charbon cutané
A22.1,A221,connu de l'ATIH,type MCO 0,A221,Charbon pulmonaire
A22.2,A222,connu de l'ATIH,type MCO 0,A222,Charbon gastro-intestinal
